65,50;0;
64,60;1;
64,60;1;
64,70;1;
67,10;0;
72,30;0;
72,70;0;
69,70;0;
67,90;0;
67,30;0;
66,60;0;
66,20;0;
66,00;0;
66,20;0;
65,70;0;
65,60;0;
65,60;0;
65,60;0;
65,60;0;
65,90;0;
65,90;0;
65,90;0;
66,20;0;
66,20;0;
66,30;0;
66,50;0;
66,50;0;
66,60;0;
66,80;0;
66,80;0;
66,90;0;
66,90;0;
67,10;0;
67,20;0;
67,10;0;
67,10;0;
66,90;0;
66,90;0;
66,90;0;
67,10;0;
67,20;0;
67,20;0;
67,20;0;
67,20;0;
67,20;0;
67,20;0;
67,30;0;
67,30;0;
67,20;0;
67,30;0;
67,20;0;
67,20;0;
67,20;0;
67,20;0;
67,20;0;
67,20;0;
67,20;0;
67,30;0;
67,50;0;
67,50;0;
67,60;0;
67,60;0;
67,60;0;

