48,70;1;
50,50;1;
55,20;1;
61,30;1;
59,50;1;
65,30;0;
72,30;0;
66,00;0;
59,50;1;
56,90;1;
58,80;1;
65,50;0;
62,90;1;
56,90;1;
59,70;1;
56,70;1;
54,40;1;
60,80;1;
66,50;0;
66,90;0;
60,80;1;
54,10;1;
57,50;1;
52,40;1;
51,60;1;
59,90;1;
61,40;1;
62,00;1;
69,70;0;
73,60;0;
55,50;1;
56,70;1;
59,90;1;
60,70;1;
54,00;1;
59,60;1;
54,10;1;
51,90;1;
53,90;1;
58,90;1;
52,40;1;
58,30;1;
57,90;1;
62,40;1;
69,10;0;
71,70;0;
67,60;0;
60,40;1;
58,40;1;
70,40;0;
74,00;0;
68,90;0;
63,00;1;
57,90;1;
65,00;0;
74,60;0;
69,80;0;
59,30;1;
56,70;1;
60,20;1;
64,00;1;
59,90;1;
62,40;1;
69,50;0;
66,30;0;
58,70;1;
57,10;1;
61,70;1;
69,40;0;
71,00;0;
69,20;0;
61,70;1;
60,10;1;
57,20;1;
61,10;1;
64,20;1;
59,20;1;
59,20;1;
54,90;1;
70,40;0;
73,30;0;
66,20;0;
61,80;1;
57,10;1;
62,40;1;
71,10;0;
76,90;0;
68,40;0;
65,20;0;
61,00;1;
55,70;1;
57,90;1;
69,10;0;
71,30;0;
68,10;0;
59,60;1;
59,60;1;
66,20;0;
65,20;0;
56,90;1;
55,30;1;
58,70;1;
70,70;0;
75,30;0;
70,20;0;
61,70;1;
60,00;1;
66,90;0;
64,00;1;
63,00;1;
62,30;1;
70,50;0;
67,80;0;
67,50;0;
58,80;1;
52,80;1;
55,10;1;
60,20;1;
66,60;0;
68,80;0;
60,70;1;
50,10;1;
50,80;1;
54,00;1;
65,60;0;
69,80;0;
68,50;0;
60,20;1;
59,20;1;
65,20;0;
74,00;0;
57,60;1;
55,10;1;
54,70;1;
69,10;0;
70,20;0;
65,60;0;
59,20;1;
54,40;1;
61,40;1;
60,70;1;
67,20;0;
74,40;0;
71,80;0;
61,70;1;
57,20;1;
62,30;1;
78,40;0;
74,60;0;
70,70;0;
63,10;1;
61,70;1;
65,60;0;
73,70;0;
73,00;0;
63,70;1;
63,00;1;
69,10;0;
77,10;0;
77,10;0;
69,80;0;
63,70;1;
54,70;1;
62,40;1;
66,90;0;
77,50;0;
74,60;0;
66,50;0;
61,10;1;
60,10;1;
67,90;0;
78,10;0;
74,20;0;
66,00;0;
64,40;1;
61,70;1;
68,10;0;
74,00;0;
